TXNAME,GENEID
lcl|CP064677.1_cds_QPD34875.1_2246,IVL04_11470
lcl|CP064677.1_cds_QPD34876.1_2247,rhmD
lcl|CP064677.1_cds_QPD34877.1_2248,IVL04_11480
lcl|CP064677.1_cds_QPD34878.1_2249,IVL04_11485
lcl|CP064677.1_cds_QPD34879.1_2250,IVL04_11490
lcl|CP064677.1_cds_QPD34880.1_2251,nudI
lcl|CP064677.1_cds_QPD34881.1_2252,IVL04_11500
lcl|CP064677.1_cds_QPD34882.1_2253,arnB
lcl|CP064677.1_cds_QPD34883.1_2254,arnC
lcl|CP064677.1_cds_QPD34884.1_2255,arnA
lcl|CP064677.1_cds_QPD34885.1_2256,IVL04_11520
lcl|CP064677.1_cds_QPD34886.1_2257,arnT
lcl|CP064677.1_cds_QPD34887.1_2258,arnE
lcl|CP064677.1_cds_QPD34888.1_2259,arnF
lcl|CP064677.1_cds_QPD34889.1_2260,pmrD
lcl|CP064677.1_cds_QPD34890.1_2261,menE
lcl|CP064677.1_cds_QPD34891.1_2262,menC
lcl|CP064677.1_cds_QPD34892.1_2263,menB
lcl|CP064677.1_cds_QPD34893.1_2264,menH
lcl|CP064677.1_cds_QPD34894.1_2265,menD
lcl|CP064677.1_cds_QPD34895.1_2266,menF
lcl|CP064677.1_cds_QPD34896.1_2267,elaB
lcl|CP064677.1_cds_QPD34897.1_2268,IVL04_11580
lcl|CP064677.1_cds_QPD34898.1_2269,rbn
lcl|CP064677.1_cds_QPD34899.1_2270,elaD
lcl|CP064677.1_cds_QPD34900.1_2271,IVL04_11595
lcl|CP064677.1_cds_QPD34901.1_2272,IVL04_11600
lcl|CP064677.1_cds_QPD34902.1_2273,IVL04_11605
lcl|CP064677.1_cds_QPD34903.1_2274,IVL04_11610
lcl|CP064677.1_cds_QPD34904.1_2275,IVL04_11615
lcl|CP064677.1_cds_QPD34905.1_2277,nuoN
lcl|CP064677.1_cds_QPD34906.1_2278,nuoM
lcl|CP064677.1_cds_QPD34907.1_2279,nuoL
lcl|CP064677.1_cds_QPD34908.1_2280,nuoK
lcl|CP064677.1_cds_QPD34909.1_2281,nuoJ
lcl|CP064677.1_cds_QPD34910.1_2282,nuoI
lcl|CP064677.1_cds_QPD34911.1_2283,nuoH
lcl|CP064677.1_cds_QPD34912.1_2284,nuoG
lcl|CP064677.1_cds_QPD34913.1_2285,nuoF
lcl|CP064677.1_cds_QPD34914.1_2286,nuoE
lcl|CP064677.1_cds_QPD34915.1_2287,nuoC
